"No.","Time","Source","Destination","Protocol","Length","Info"
"19943","73.765220","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19944","73.765220","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19945","73.765455","192.168.1.8","118.98.109.79","UDP","92","54407  >  443 Len=50"
"19946","73.765593","192.168.1.8","118.98.109.79","UDP","92","54407  >  443 Len=50"
"19947","73.765668","192.168.1.8","118.98.109.79","UDP","92","54407  >  443 Len=50"
"19948","73.765737","192.168.1.8","118.98.109.79","UDP","92","54407  >  443 Len=50"
"19949","73.766847","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19950","73.771625","192.168.1.8","118.98.109.79","UDP","98","54407  >  443 Len=56"
"19951","73.771886","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19952","73.772046","192.168.1.8","118.98.109.79","UDP","94","54407  >  443 Len=52"
"19953","73.775408","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19954","73.775408","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19955","73.775408","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19956","73.775408","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19957","73.775627","192.168.1.8","118.98.109.79","UDP","96","54407  >  443 Len=54"
"19958","73.775739","192.168.1.8","118.98.109.79","UDP","96","54407  >  443 Len=54"
"19959","73.775809","192.168.1.8","118.98.109.79","UDP","96","54407  >  443 Len=54"
"19960","73.775874","192.168.1.8","118.98.109.79","UDP","96","54407  >  443 Len=54"
"19961","73.777623","34.111.151.213","192.168.1.8","TCP","56","[TCP Keep-Alive ACK] 443  >  61994 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"19962","73.778733","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19963","73.778733","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19964","73.778733","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19965","73.778733","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19966","73.780460","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19967","73.780460","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19968","73.780665","192.168.1.8","118.98.109.79","UDP","78","54407  >  443 Len=36"
"19969","73.782146","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19970","73.782146","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19971","73.782302","192.168.1.8","118.98.109.79","UDP","80","54407  >  443 Len=38"
"19972","73.782403","192.168.1.8","118.98.109.79","UDP","80","54407  >  443 Len=38"
"19973","73.785916","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19974","73.785916","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19975","73.786230","192.168.1.8","118.98.109.79","UDP","82","54407  >  443 Len=40"
"19976","73.786386","192.168.1.8","118.98.109.79","UDP","82","54407  >  443 Len=40"
"19977","73.788626","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
